path,sha256,reason,first_seen_commit,scanned_at
"TODO.md","3bce3f8d8847e77db3675c36cd63f39225bdc5305ae07b484f3e974a4d0ecebb","Content contains suspicious pattern: span_error_reason.*["']MOCK_RESULT["']","TBD","2025-09-06T14:49:24.065Z"
"TODO.md","3bce3f8d8847e77db3675c36cd63f39225bdc5305ae07b484f3e974a4d0ecebb","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.065Z"
"TODO.md","3bce3f8d8847e77db3675c36cd63f39225bdc5305ae07b484f3e974a4d0ecebb","Content contains suspicious pattern: "Simulate"","TBD","2025-09-06T14:49:24.065Z"
"TODO.md","3bce3f8d8847e77db3675c36cd63f39225bdc5305ae07b484f3e974a4d0ecebb","Content contains suspicious pattern: "mock"","TBD","2025-09-06T14:49:24.065Z"
"TODO.md","3bce3f8d8847e77db3675c36cd63f39225bdc5305ae07b484f3e974a4d0ecebb","Content contains suspicious pattern: MOCK_RESULT","TBD","2025-09-06T14:49:24.065Z"
"TODO.md","3bce3f8d8847e77db3675c36cd63f39225bdc5305ae07b484f3e974a4d0ecebb","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.065Z"
"TODO.md","3bce3f8d8847e77db3675c36cd63f39225bdc5305ae07b484f3e974a4d0ecebb","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.065Z"
"config/benchmarks/config_fingerprint.json","eccf8ca21e15f2aada39e6daee9235415ba9d611e4076a65c51dfc9620a60b66","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.068Z"
"config/benchmarks/smoke_benchmark_request.json","08cfc9742bd19b4a91de69b36768a8c3de042a0f10f5a1f4c0df3edb8b378053","Missing service handshake in benchmark result","TBD","2025-09-06T14:49:24.068Z"
"create-anchor-smoke-dataset.js","420be3ae0f499b15a4c46f4092d1190263822d4df47871b67bb5039fac9a10c1","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.069Z"
"create-ladder-full-dataset.js","6a299fa41b7875ada68e199271900d153eca388fe2ab63c66d6bc79b6dbd123c","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.069Z"
"dist/benchmark/ground-truth-builder.d.ts","1928e0eba237f452d5d3b33cc1c4337a6535d0ec8c0f03aac93ce184a7645e9a","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.076Z"
"dist/benchmark/lsp-serena-comparison.d.ts","440be1562da64a79f9af07c8ca6848b1a395693e82265738a2303e1946728ff6","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.077Z"
"dist/benchmark/lsp-serena-comparison.js","c118fdc771dd6f205c1278dd955ffff9969323128984bfb03bb3d8fd1db033b6","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.077Z"
"dist/benchmark/suite-runner.d.ts","6fbd51458dd0cf756db1960756b549c136422ef913ab54e34832440c46369418","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.082Z"
"dist/benchmark/suite-runner.js","980f9f24bd1db696445a0f919ed875afdaa31792ca3ef2bbddee05b2a1fb5958","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.083Z"
"dist/benchmark/test-data-generator.d.ts","ad4d79a7bc2fa9e854675eef6e4adde8c67a4facf2a89ad3d4eb9df14e0038b4","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.083Z"
"dist/benchmark/test-data-generator.js","1888bcbf447bebb6fb598120e86362113c1c1010ea4ef632e77dbab6577a183b","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.083Z"
"dist/core/__tests__/safety-gate-validation.d.ts","a2ce6c55617744526e6a8b13481093823a5adf6a5954cac4a769e0bc100ff493","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.084Z"
"dist/core/__tests__/safety-gate-validation.js","e70be08bc0c50e10f35c4be56cbfbda942ff350f6b17f6ba6745d9cbde999774","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.084Z"
"dist/core/executive-steady-state-reporting.d.ts","96c09b8656baa3a07c2ceadd960215c2549192101ba2a02113d740e9b02758c4","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.091Z"
"dist/core/executive-steady-state-reporting.js","6c02f7304483af4218f5c46e7dc752d5db46778f2d6676051a5f0e521671bbb9","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.091Z"
"dist/core/latency-conditioned-metrics.d.ts","0fd460dfadc154f73d1ffe4f7d3867049aaa33e09130ef1c39eec856a3eab7e5","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.093Z"
"dist/core/latency-conditioned-metrics.js","f951fcae0fe6c29ec6c6ba556ff959331f68ebf607e2f424107b271f0c980dd7","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.094Z"
"dist/core/learned-reranker.js","5810e6e2c02b50cec5001719cbb678c9eb6252981eb8f7ce3d4df87e4b2aca5a","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.094Z"
"dist/core/slice-roi-optimizer.js","a4c27c46d45cba588619d9209dfd65ec697ec0e166a9b1f3ec504df6d7b60876","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.100Z"
"dist/deployment/deployment-orchestrator.d.ts","28297c1b983c028ade3c93e03a7fb37f21a86e5fb26230d4d2cdd34ebb853ade","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.106Z"
"dist/deployment/deployment-orchestrator.js","f707f88e16b263ab24635ee927e2938e7a7c5f567165a5b440defa2744b7c591","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.106Z"
"dist/deployment/final-bench-system.d.ts","09e177450b48bbbad12182dcbce5c1ca9898f886065de46399fe7fc0d99efbed","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.106Z"
"dist/deployment/final-bench-system.js","66d8890b3e4eb39d97b1ab6c337d79aa699d7d2382e7d8851db9d84a568a5224","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.107Z"
"dist/deployment/todo-complete-deployment-orchestrator.js","75653a8e367a750f765380cc5dbbcccf02d8a7388743380636f63400ae2889eb","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.110Z"
"dist/gemma-migration/migration-orchestrator.js","529f35dccaaaee4ddbefadddaa434940ae98a6bdfd365e57fb66df606d650c85","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.113Z"
"dist/mcp/core/learned-reranker.js","ee3f511fa1aff7732ce9692fcc13e001259c71942fdd550baaff2eeeb5d38c5b","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.117Z"
