intent,language,credit_type,lens_ndcg,best_other_ndcg,delta_ndcg,advantage
validation,python,span_only,0.7970,0.4834,0.3136,lens_leads
validation,javascript,span_only,0.5772,0.5195,0.0577,lens_leads
validation,java,span_only,0.6388,0.5618,0.0770,lens_leads
validation,typescript,span_only,0.7795,0.4181,0.3613,lens_leads
algorithm,python,span_only,0.5643,0.4040,0.1603,lens_leads
algorithm,javascript,span_only,0.6060,0.4633,0.1427,lens_leads
algorithm,java,span_only,0.7839,0.4832,0.3007,lens_leads
algorithm,typescript,span_only,0.7626,0.5369,0.2257,lens_leads
sorting,python,span_only,0.7415,0.5853,0.1563,lens_leads
sorting,javascript,span_only,0.6011,0.4472,0.1539,lens_leads
sorting,java,span_only,0.5659,0.4767,0.0892,lens_leads
sorting,typescript,span_only,0.5425,0.5292,0.0133,lens_leads
conversion,python,span_only,0.7390,0.4479,0.2911,lens_leads
conversion,javascript,span_only,0.6224,0.5330,0.0894,lens_leads
conversion,java,span_only,0.7441,0.5756,0.1684,lens_leads
conversion,typescript,span_only,0.6213,0.6187,0.0026,lens_leads
error_handling,python,span_only,0.5250,0.4729,0.0520,lens_leads
error_handling,javascript,span_only,0.6323,0.5788,0.0535,lens_leads
error_handling,java,span_only,0.7512,0.5974,0.1539,lens_leads
error_handling,typescript,span_only,0.7125,0.5018,0.2108,lens_leads
validation,python,hierarchical,0.5489,0.5773,-0.0284,lens_behind
validation,javascript,hierarchical,0.7114,0.4976,0.2138,lens_leads
validation,java,hierarchical,0.7715,0.4212,0.3502,lens_leads
validation,typescript,hierarchical,0.7386,0.4186,0.3200,lens_leads
algorithm,python,hierarchical,0.5550,0.5607,-0.0057,lens_behind
algorithm,javascript,hierarchical,0.6501,0.4406,0.2095,lens_leads
algorithm,java,hierarchical,0.5502,0.5546,-0.0044,lens_behind
algorithm,typescript,hierarchical,0.6960,0.5830,0.1130,lens_leads
sorting,python,hierarchical,0.5177,0.4521,0.0656,lens_leads
sorting,javascript,hierarchical,0.6832,0.4333,0.2498,lens_leads
sorting,java,hierarchical,0.5819,0.4667,0.1151,lens_leads
sorting,typescript,hierarchical,0.7395,0.4078,0.3317,lens_leads
conversion,python,hierarchical,0.6852,0.5463,0.1389,lens_leads
conversion,javascript,hierarchical,0.7548,0.6339,0.1209,lens_leads
conversion,java,hierarchical,0.7244,0.5904,0.1340,lens_leads
conversion,typescript,hierarchical,0.7370,0.5369,0.2002,lens_leads
error_handling,python,hierarchical,0.6427,0.4268,0.2159,lens_leads
error_handling,javascript,hierarchical,0.6007,0.5338,0.0669,lens_leads
error_handling,java,hierarchical,0.6354,0.6385,-0.0030,lens_behind
error_handling,typescript,hierarchical,0.7287,0.4921,0.2366,lens_leads
