system,dataset,credit_type,mean_ndcg_at_10,mean_success_at_10,sla_compliance_rate,p95_latency_ms,total_queries
opensearch_knn,swe_verified,span_only,0.5000,1.0000,1.0000,76.2,30
vespa_hnsw,swe_verified,span_only,0.5000,1.0000,1.0000,79.2,30
qdrant_hybrid,swe_verified,span_only,0.5000,1.0000,1.0000,79.6,25
opensearch_knn,coir,span_only,0.5000,1.0000,1.0000,78.0,40
vespa_hnsw,coir,span_only,0.5000,1.0000,1.0000,76.2,40
qdrant_hybrid,coir,span_only,0.5000,1.0000,1.0000,73.6,30
opensearch_knn,csn,span_only,0.5000,1.0000,1.0000,77.2,40
vespa_hnsw,csn,span_only,0.5000,1.0000,1.0000,80.8,40
qdrant_hybrid,csn,span_only,0.5000,1.0000,1.0000,74.8,30
opensearch_knn,cosqa,span_only,0.5000,1.0000,1.0000,75.5,25
vespa_hnsw,cosqa,span_only,0.5000,1.0000,1.0000,78.1,30
qdrant_hybrid,cosqa,span_only,0.5000,1.0000,1.0000,74.0,25
opensearch_knn,swe_verified,hierarchical,0.5000,1.0000,1.0000,76.2,30
vespa_hnsw,swe_verified,hierarchical,0.5000,1.0000,1.0000,79.2,30
qdrant_hybrid,swe_verified,hierarchical,0.5000,1.0000,1.0000,79.6,25
opensearch_knn,coir,hierarchical,0.5000,1.0000,1.0000,78.0,40
vespa_hnsw,coir,hierarchical,0.5000,1.0000,1.0000,76.2,40
qdrant_hybrid,coir,hierarchical,0.5000,1.0000,1.0000,73.6,30
opensearch_knn,csn,hierarchical,0.5000,1.0000,1.0000,77.2,40
vespa_hnsw,csn,hierarchical,0.5000,1.0000,1.0000,80.8,40
qdrant_hybrid,csn,hierarchical,0.5000,1.0000,1.0000,74.8,30
opensearch_knn,cosqa,hierarchical,0.5000,1.0000,1.0000,75.5,25
vespa_hnsw,cosqa,hierarchical,0.5000,1.0000,1.0000,78.1,30
qdrant_hybrid,cosqa,hierarchical,0.5000,1.0000,1.0000,74.0,25
