system,dataset,credit_type,mean_ndcg_at_10,mean_success_at_10,sla_compliance_rate,p95_latency_ms,total_queries
faiss_ivf_pq,swe_verified,span_only,0.5000,1.0000,1.0000,48.1,20
scann,swe_verified,span_only,0.5000,1.0000,1.0000,55.0,20
faiss_ivf_pq,coir,span_only,0.5000,1.0000,1.0000,52.3,20
scann,coir,span_only,0.5000,1.0000,1.0000,52.9,20
faiss_ivf_pq,csn,span_only,0.5000,1.0000,1.0000,51.9,20
scann,csn,span_only,0.5000,1.0000,1.0000,54.2,20
faiss_ivf_pq,cosqa,span_only,0.5000,1.0000,1.0000,52.4,15
scann,cosqa,span_only,0.5000,1.0000,1.0000,53.8,15
faiss_ivf_pq,swe_verified,hierarchical,0.5000,1.0000,1.0000,48.1,20
scann,swe_verified,hierarchical,0.5000,1.0000,1.0000,55.0,20
faiss_ivf_pq,coir,hierarchical,0.5000,1.0000,1.0000,52.3,20
scann,coir,hierarchical,0.5000,1.0000,1.0000,52.9,20
faiss_ivf_pq,csn,hierarchical,0.5000,1.0000,1.0000,51.9,20
scann,csn,hierarchical,0.5000,1.0000,1.0000,54.2,20
faiss_ivf_pq,cosqa,hierarchical,0.5000,1.0000,1.0000,52.4,15
scann,cosqa,hierarchical,0.5000,1.0000,1.0000,53.8,15
