system,dataset,credit_type,mean_ndcg_at_10,mean_success_at_10,sla_compliance_rate,p95_latency_ms,total_queries
comby,swe_verified,span_only,0.5000,1.0000,1.0000,124.1,20
ast_grep,swe_verified,span_only,0.5000,1.0000,1.0000,113.0,25
ast_grep,coir,span_only,0.5000,1.0000,1.0000,113.7,25
comby,coir,span_only,0.5000,1.0000,1.0000,123.9,15
ast_grep,csn,span_only,0.5000,1.0000,1.0000,119.4,25
comby,csn,span_only,0.5000,1.0000,1.0000,123.9,15
comby,cosqa,span_only,0.5000,1.0000,1.0000,124.7,15
ast_grep,cosqa,span_only,0.5000,1.0000,1.0000,128.9,20
comby,swe_verified,hierarchical,0.5000,1.0000,1.0000,124.1,20
ast_grep,swe_verified,hierarchical,0.5000,1.0000,1.0000,113.0,25
ast_grep,coir,hierarchical,0.5000,1.0000,1.0000,113.7,25
comby,coir,hierarchical,0.5000,1.0000,1.0000,123.9,15
ast_grep,csn,hierarchical,0.5000,1.0000,1.0000,119.4,25
comby,csn,hierarchical,0.5000,1.0000,1.0000,123.9,15
comby,cosqa,hierarchical,0.5000,1.0000,1.0000,124.7,15
ast_grep,cosqa,hierarchical,0.5000,1.0000,1.0000,128.9,20
